127.0.0.1 - - [24/May/2019:09:14:57 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [24/May/2019:09:15:38 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2019:09:15:43 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [24/May/2019:09:15:57 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [24/May/2019:09:16:07 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [24/May/2019:09:16:12 -0300] "GET /gerenciador/lista HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/May/2019:09:16:15 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [24/May/2019:09:32:04 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [24/May/2019:09:35:57 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [24/May/2019:09:37:05 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 500 2777
0:0:0:0:0:0:0:1 - - [24/May/2019:09:37:36 -0300] "GET /gerenciador/novaEmpresaCriada.jsp HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [24/May/2019:09:46:33 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [24/May/2019:09:52:17 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2019:09:52:21 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [24/May/2019:10:10:59 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 76
